S.No,Station,City,Mode of PS,Discipline,Industry Domain,Project Domain,Projects,Remarks
307,Saastrix Pty Ltd,Sydney,Online,"A1, A3, A4, A7, A8, AA",IT,IT/LLM/Agile Development/JIRA,3,"Announced on March 22, 2024"
259,ONGC,Hazira,Onsite,"A1, A4, A3, A8, AA, A7, B2, A2",Mechanical,Mechanical/Details awaited,1,"Announced on March 22, 2024"
18,Albatross Energetics - IT,Mumbai,Onsite,"A1, A4, A7",Mechanical,IT/AIML/HVAC/Chemistry,2,"Announced on March 22, 2024"
316,Skill peritia (Catalyst Edutech Pvt. Ltd.) - Tech,Mumbai,Onsite,"A1, A4, Any",Edtech,IT/Gen AI/Web Dev,2,"Announced on March 22, 2024"
150,IFB Global - R&D,Goa,Onsite,"A1, A4, B5, A3, A7, A8, AA",Mechanical,Mechanical/R&D/Textile Engineering/Machinery/Fluid Mechanics/Quantum Mechanics/Electronic Devices/Microprocessors Interfacing/Electrical Machines/Motors,6,"Announced on March 22, 2024"
113,Edhaa Innovations Private Limited,Mumbai,Onsite,"A1, B2, A7, AA",Healthcare,Healthcare/Health-Tech/Bio-processing,2,"Announced on March 22, 2024"
226,Mormugao Port Trust,Goa,Onsite,"A2 , A4, A7",Infrastructure,Civil/Mechanical/IT,3,"Announced on March 22, 2024"
353,UST,Thiruvananthapuram,Onsite,"A2, A3 , A7 , A8 , AA, A4",IT,IT/AIML/Data Science/Blockchain/Robotics,4,"Announced on March 22, 2024"
362,Wadia Institute of Himalayan Geology,Dehradun,Onsite,"A2, A7, B4",Civil,IT/Civil/Maths,5,"Announced on March 22, 2024"
179,Institute of Seismological Research,Gandhinagar,Onsite,"A2,A7,B5",Infrastructure,IT/Seismology/Soil Mechanics,5,"Announced on March 22, 2024"
277,Petasense Technologies Pvt. Ltd. - Analytics,Bengaluru,Onsite,"A3 , A4 , A7 , A8 , AA , AB , B4 , B5",IT,IT/Exploratory Data Analytics,1,"Announced on March 22, 2024"
313,Siemens,Aurangabad,Onsite,"A3 , A4 , A8 , AA , AB, A7",Electronics,Electronics/Mechanical/IT,2,"Announced on March 22, 2024"
72,Cognix Technologies,Pilani,Onsite,"A3 , A7 , A8 , AA",IT,IT/App Development,2,"Announced on March 22, 2024"
219,MELSS Systems and Services,Chennai,Onsite,"A3 , A7 , A8 , AA",Electronics,Electronics/OEE/IoT,1,"Announced on March 22, 2024"
278,Petasense Technologies Pvt. Ltd. - Embedded Systems,Bengaluru,Onsite,"A3 , A7 , A8 , AA",IT,IT/Embedded Software,1,"Announced on March 22, 2024"
279,Petasense Technologies Pvt. Ltd. - Web Development,Bengaluru,Onsite,"A3 , A7 , A8 , AA",IT,IT/Web Development,1,"Announced on March 22, 2024"
312,Shalaka Connected Devices LLP,Pune,Onsite,"A3 , A7 , A8 , AA",Electronics,IT/IoT,5,"Announced on March 22, 2024"
280,"PNT Robotics & Automation Solutions,LLP",Dombivli,Onsite,"A3 , A7 , A8 , AA, A4",Mechanical,IT/AIML/Electronics/Mechanical,5,"Announced on March 22, 2024"
58,"Centre for Development of Advanced Computing, Centre in North East (C-DAC CINE)",Assam,Online,"A3, A7, A8, AA",Electronics,Electronics/Embedded Systems/Quantum Machine Learning/Network-on-Chip,3,"Announced on March 22, 2024"
77,CSIR - Central Electronics Engineering Research Institute (CEERI),Pilani,Onsite,"A3, A8, A7, AA",Electronics,Electronics/IT,1,"Announced on March 22, 2024"
78,CSIR - Central Electronics Engineering Research Institute (CEERI),Jaipur,Onsite,"A3, A8, A7, AA",Electronics,Electronics/IT,1,"Announced on March 22, 2024"
171,Indira Gandhi Centre for Atomic Research (IGCAR),Kalpakkam,Onsite,"A3, A8, AA, A4, A1, A7",Electronics,"Electronics/Core Engineering & IT, Electronics, Physics/Science",60,"Announced on March 22, 2024"
106,Diya Robotics  - Content Development,Chennai,Onsite,"A3, A8, AA, A7",Electronics,Electronics/Content Development,1,"Announced on March 22, 2024"
107,Diya Robotics  - Product Development,Chennai,Onsite,"A3, A8, AA, A7",Electronics,Electronics/Product Development,1,"Announced on March 22, 2024"
281,"PNT Robotics & Automation Solutions,LLP",Dombivli,Online,"A3, A8, AA, A7, A4",Mechanical,IT/AIML/Electronics/Mechanical/Robotics,5,"Announced on March 22, 2024"
233,National Atmospheric Research Laboratory (NARL),Tirupathi,Onsite,"A3, A8, AA, A7, B4",Electronics,Electronics/Signal Processing/Data Processing/Numerical Simulation,6,"Announced on March 22, 2024"
211,Machenn Innovations Private Limited,Coimbatore/Visakhapatnam,Onsite,"A3, A8, AA, Any",Others,Electronics/Motion Capture/Animations,2,"Announced on March 22, 2024"
200,L&T Energy,Vadodara,Onsite,"A4, A2, A7, A3, A8, AA",IT,IT/Video Analytics/Predictive Analytics/NLP/GenAI/AWP/Financial Monitoring of EPC Projects,5,"Announced on March 22, 2024"
128,Goa Shipyard Ltd.,Goa,Onsite,"A4, A3, A8, A2, A7,Mgmt",Mechanical,Mechanical/Engineering/Management,1,"Announced on March 22, 2024"
328,"Supervisors Training Centre, Northern Railway",Lucknow,Onsite,"A4, A3, A8, AA, A7",Mechanical,Mechanical/Pneumatics and Mechanical/Electronics/Electrical Controls/Machining & Assembly/Inventory Management,4,"Announced on March 22, 2024"
33,Askbloc.ai (Airdash Tech Pvt. Ltd) - Non Tech,Bengaluru,Onsite,"A4, A8, Any",IT,Management/Computer Vision/Video Editing,2,"Announced on March 22, 2024"
34,Askbloc.ai (Airdash Tech Pvt. Ltd) - Tech,Bengaluru,Onsite,"A4, A8, Any",IT,IT/Gen AI/Backend Dev/Web Dev,3,"Announced on March 22, 2024"
50,Boston Polymers,Gurugram,Online,"A4, AB, Any",Manufacturing,Manufacturing/R&D/Raw Material Import Analysis/Inventory Management,3,"Announced on March 22, 2024"
203,Laurus Labs,Anakapalli,Onsite,"A5, A7 ",Healthcare,Healthcare/Manufacturing/Operations/IT,3,"Announced on March 22, 2024"
68,CloudDefense.AI,"Palo Alto, CA, USA",Online,A7,IT,IT/DevSecOps/Cloud Security/Hacker Recon,3,"Announced on March 22, 2024"
70,Codelift Academy Private Limited - Tech,"Rampur, Bilaspur",Online,A7,Edtech,IT/Web Dev,1,"Announced on March 22, 2024"
71,Coditation Systems Pvt. Ltd.,Pune,Online,A7,IT,IT/Details awaited,1,"Announced on March 22, 2024"
75,Contenterra Software Private Limited,Hyderabad,Online,A7,IT,IT/Project Management/ChatDBT,2,"Announced on March 22, 2024"
76,C-Point,Rajkot,Online,A7,Management,IT/Software Product Development,1,"Announced on March 22, 2024"
172,Indium Software Pvt. Ltd.,Chennai,Online,A7,IT,IT/App Dev/Library Management System Dev,3,"Announced on March 22, 2024"
176,Infinite Analytics - Tech,Mumbai/Boston,Online,A7,IT,IT/Coding ,1,"Announced on March 22, 2024"
223,MindPeers - Tech,New Delhi,Online,A7,Healthcare,IT/Flutter/Backend,2,"Announced on March 22, 2024"
319,Software Tree,California,Online,A7,IT,IT,11,"Announced on March 22, 2024"
342,Trutraffik,Machilipatnam,Online,A7,IT,IT/Programming/Testing/Documenting & Creating Demo Videos,2,"Announced on March 22, 2024"
352,UNIVERSAL ENERGY SOLUTIONS - Web Development,Kolkata,Online,A7,Electronics,IT/Web Development,1,"Announced on March 22, 2024"
3,2dot0 farms - IT,Puttaparthi,Onsite,A7,Others,IT/AI Chatbot,1,"Announced on March 22, 2024"
32,Asanify Technologies - Tech,Kolkata,Onsite,A7,IT,IT/Details awaited,1,"Announced on March 22, 2024"
44,Bid alert - IT,Guntur,Onsite,A7,Others,IT/Python,2,"Announced on March 22, 2024"
52,CAI platforms,Bengaluru,Onsite,A7,IT,IT/Generative AI/ML/Deep Learning,3,"Announced on March 22, 2024"
56,Centre for Development of Advanced Computing (CDAC),Kolkata,Onsite,A7,IT,IT/Livestock Management/Software&Web Development/Cyber Security/Virtual Reality,5,"Announced on March 22, 2024"
65,Climetaverse - IT,Bengaluru,onsite,A7,IT,IT/NLP/ML/AI,1,"Announced on March 22, 2024"
96,Deep Tek Medical Imaging Private Limited,Pune,Onsite,A7,Healthcare,IT/Data science,3,"Announced on March 22, 2024"
99,Delhi Metro Rail Corporation (DMRC) - IT,New Delhi,Onsite,A7,Mechanical,IT/Details awaited,2,"Announced on March 22, 2024"
