S.No,Station,City,Mode of PS,Discipline,Industry Domain,Project Domain,Projects,Remarks
324,Stackwalls Technologies Private Limited - Tech,Ahmedabad,Online,Any,IT,IT/Web Development,1,"Announced on March 22, 2024"
221,Mind Inventory,Ahmedabad,Online,"A7, A4, AA, A3",IT,IT/Employee Mgmt System/Hotel Mgmt system/Food delivery App/Project Management/Project Task Management,3,"Announced on March 22, 2024"
58,"Centre for Development of Advanced Computing, Centre in North East (C-DAC CINE)",Assam,Online,"A3, A7, A8, AA",Electronics,Electronics/Embedded Systems/Quantum Machine Learning/Network-on-Chip,5,"Announced on March 22, 2024"
37,Avidia Labs - Tech,Bengaluru,Online,Any,IT,IT/AI Content Creation,1,"Announced on March 22, 2024"
319,Software Tree,California,Online,A7,IT,IT,2,"Announced on March 22, 2024"
271,Paddleboat Private Limited - Software Development,Chennai,Online,Any,IT,IT/Software Development,4,"Announced on March 22, 2024"
172,Indium Software Pvt. Ltd.,Chennai,Online,A7,IT,IT/App Dev/Library Management System Dev,1,"Announced on March 22, 2024"
281,"PNT Robotics & Automation Solutions,LLP",Dombivli,Online,"A3, A8, AA, A7, A4",Mechanical,IT/AIML/Electronics/Mechanical/Robotics,2,"Announced on March 22, 2024"
217,MedSupervision,Faridabad,Online,"A7, A3, AA",Healthcare,IT/Quantum computing/Android app development/Machine Learning Analytics/AI models for Healthcare,5,"Announced on March 22, 2024"
88,Cureclaims,Gurugram,Online,Any,IT,IT/Backend Dev/ML/Full Stack Dev,1,"Announced on March 22, 2024"
22,Americana Restaurants International PLC,Gurugram/UAE,Online,Any,IT,IT/Analytics,1,"Announced on March 22, 2024"
275,Paryatan School of Innovative Education - Tech,"Hisar, Haryana",Online,"A7, A3, A1, A4",Others,IT/Website Development,11,"Announced on March 22, 2024"
359,Vidcentum R & D Pvt. Ltd.,Hyderabad,Online,"A7,A3,A8,AA",IT,"IT/Retrieval Augmented Generation (RAG) AI for IoT, AgriTech/Management of AI deployments/APIs",3,"Announced on March 22, 2024"
216,MASTH (UltraHive Healthcare Pvt Ltd),Hyderabad,Online ,Any,Healthcare,IT/Mobile/Web App Development,1,"Announced on March 22, 2024"
189,Jio Platforms Ltd.,Hyderabad,Online,"A7, A3, A8, AA",Electronics,IT/Python,3,"Announced on March 22, 2024"
118,etalogue software private limited,Hyderabad,Online,"A7, A3, AA A8",IT,IT/Full Stack Development,1,"Announced on March 22, 2024"
75,Contenterra Software Private Limited,Hyderabad,Online,A7,IT,IT/Project Management/ChatDBT,2,"Announced on March 22, 2024"
195,KMT Logistics Private Limited - Tech,Jaipur,Online,"A7, A3",Management,IT/Web Dev,4,"Announced on March 22, 2024"
228,My Web Partner - Tech,"Jalalabad, Punjab",Online,Any,Others,IT/Web Dev/Customer Management System Dev,3,"Announced on March 22, 2024"
352,UNIVERSAL ENERGY SOLUTIONS - Web Development,Kolkata,Online,A7,Electronics,IT/Web Development,2,"Announced on March 22, 2024"
342,Trutraffik,Machilipatnam,Online,A7,IT,IT/Programming/Testing/Documenting & Creating Demo Videos,1,"Announced on March 22, 2024"
188,Jhaveri Power Labs,Mumbai,Online,Any,Electronics,IT/Electronics/IoT/Realtime Fintech platform,3,"Announced on March 22, 2024"
176,Infinite Analytics - Tech,Mumbai/Boston,Online,A7,IT,IT/Coding ,3,"Announced on March 22, 2024"
260,Optimum Steels - IT,New Delhi,Online,Any,Manufacturing,IT/AI/Saas Integration,3,"Announced on March 22, 2024"
223,MindPeers - Tech,New Delhi,Online,A7,Healthcare,IT/Flutter/Backend,2,"Announced on March 22, 2024"
173,Indovision Services Private Limited,New Delhi,Online,Any,IT,IT/PHP/MYSQL/PYTHON/JAVA,2,"Announced on March 22, 2024"
68,CloudDefense.AI,"Palo Alto, CA, USA",Online,A7,IT,IT/DevSecOps/Cloud Security/Hacker Recon,3,"Announced on March 22, 2024"
12,Agrix Agrotech Pvt. Ltd.,Patna,Online,"AA, A7, B4",IT,IT/Machine Learning/Image Processing/Data Science/GIS,3,"Announced on March 22, 2024"
130,GPLAN Services Private Limited - IT,Pilani,Online,"B4, A7",IT,IT/Software Development/Graph Algorithmic Optimization,3,"Announced on March 22, 2024"
61,Chaob Technologies Pvt. Ltd (Carscan),Pune,Online,Any,IT,IT/Software Development,1,"Announced on March 22, 2024"
76,C-Point,Rajkot,Online,A7,Management,IT/Software Product Development,1,"Announced on March 22, 2024"
70,Codelift Academy Private Limited - Tech,"Rampur, Bilaspur",Online,A7,Edtech,IT/Web Dev,1,"Announced on March 22, 2024"
225,MobileMSK LLC,Saint Cloud MN,Online,"A7, A3, A8, AA",IT,IT/Conversational AI/Data Engineering/Dev Ops,5,"Announced on March 22, 2024"
67,ClimeUp,Salem,Online,"A7, A3, A8, AA ",IT,IT/SaaS/WebApp Dev/Gen AI,1,"Announced on March 22, 2024"
307,Saastrix Pty Ltd,Sydney,Online,"A1, A3, A4, A7, A8, AA",IT,IT/LLM/Agile Development/JIRA,4,"Announced on March 22, 2024"
101,DevTown (Codetown Edtech Pvt. Ltd),Bengaluru,Online,Any,Edtech,Management/Outreach Coordination/Marketing/Content Creation/Business Dev/Data Analysis,5,"Announced on March 22, 2024"
73,Commercial Consultancy Services (Flexsim),Bengaluru,Online,"A7, A3, A8, AA",Mechanical,Mechanical/Model building/Model Analysis Simulation,4,"Announced on March 22, 2024"
346,Udhyam Learning Foundation,Bengaluru,Online,Any,Others,Management/Learner Portfolio/Data Dashboards/Leaderboards,1,"Announced on March 22, 2024"
